Source	Dests
Denver-Aurora-Lakewood, CO Metro Area	Boulder, CO Metro Area+Colorado Springs, CO Metro Area+Fort Collins, CO Metro Area+Greeley, CO Metro Area
Des Moines-West Des Moines, IA Metro Area	
Detroit-Warren-Dearborn, MI Metro Area	Ann Arbor, MI Metro Area+Flint, MI Metro Area+Grand Rapids-Wyoming, MI Metro Area+Lansing-East Lansing, MI Metro Area
Dothan, AL Metro Area	
Dover, DE Metro Area	
Dubuque, IA Metro Area	
Duluth, MN-WI Metro Area	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area
Durham-Chapel Hill, NC Metro Area	Raleigh, NC Metro Area
East Stroudsburg, PA Metro Area	
Eau Claire, WI Metro Area	
El Centro, CA Metro Area	
El Paso, TX Metro Area	
Elizabethtown-Fort Knox, KY Metro Area	
Elkhart-Goshen, IN Metro Area	
Elmira, NY Metro Area	
Erie, PA Metro Area	
Eugene, OR Metro Area	Portland-Vancouver-Hillsboro, OR-WA Metro Area
Evansville, IN-KY Metro Area	
Fairbanks, AK Metro Area	
Fargo, ND-MN Metro Area	
Farmington, NM Metro Area	
Fayetteville, NC Metro Area	
Fayetteville-Springdale-Rogers, AR-MO Metro Area	
Flagstaff, AZ Metro Area	
Flint, MI Metro Area	Detroit-Warren-Dearborn, MI Metro Area
Florence, SC Metro Area	
Florence-Muscle Shoals, AL Metro Area	
Fond du Lac, WI Metro Area	
Fort Collins, CO Metro Area	Denver-Aurora-Lakewood, CO Metro Area
Fort Smith, AR-OK Metro Area	
Fort Wayne, IN Metro Area	
Fresno, CA Metro Area	
Gadsden, AL Metro Area	
Gainesville, FL Metro Area	
Gainesville, GA Metro Area	
Gettysburg, PA Metro Area	
Glens Falls, NY Metro Area	
Goldsboro, NC Metro Area	
Grand Forks, ND-MN Metro Area	
Grand Island, NE Metro Area	
Grand Junction, CO Metro Area	
Grand Rapids-Wyoming, MI Metro Area	
Grants Pass, OR Metro Area	
Great Falls, MT Metro Area	
Greeley, CO Metro Area	Denver-Aurora-Lakewood, CO Metro Area
Green Bay, WI Metro Area	
Greensboro-High Point, NC Metro Area	Winston-Salem, NC Metro Area
Greenville, NC Metro Area	
Greenville-Anderson-Mauldin, SC Metro Area	Spartanburg, SC Metro Area
Guayama, PR Metro Area	
Gulfport-Biloxi-Pascagoula, MS Metro Area	
Hagerstown-Martinsburg, MD-WV Metro Area	
Hammond, LA Metro Area	
Hanford-Corcoran, CA Metro Area	
Harrisburg-Carlisle, PA Metro Area	
Harrisonburg, VA Metro Area	
Hartford-West Hartford-East Hartford, CT Metro Area	New Haven-Milford, CT Metro Area
Hattiesburg, MS Metro Area	
Hickory-Lenoir-Morganton, NC Metro Area	
Hilton Head Island-Bluffton-Beaufort, SC Metro Area	
Hinesville, GA Metro Area	
Homosassa Springs, FL Metro Area	
Honolulu, HI Metro Area	
Hot Springs, AR Metro Area	
Houma-Thibodaux, LA Metro Area	
Houston-The Woodlands-Sugar Land, TX Metro Area	Austin-Round Rock, TX Metro Area+Beaumont-Port Arthur, TX Metro Area+College Station-Bryan, TX Metro Area+Dallas-Fort Worth-Arlington, TX Metro Area+San Antonio-New Braunfels, TX Metro Area
Huntington-Ashland, WV-KY-OH Metro Area	
Huntsville, AL Metro Area	
Idaho Falls, ID Metro Area	
Indianapolis-Carmel-Anderson, IN Metro Area	Bloomington, IN Metro Area+Muncie, IN Metro Area
Iowa City, IA Metro Area	
Ithaca, NY Metro Area	
Jackson, MI Metro Area	
Jackson, MS Metro Area	
Jackson, TN Metro Area	
Jacksonville, FL Metro Area	
Jacksonville, NC Metro Area	
Janesville-Beloit, WI Metro Area	
Jefferson City, MO Metro Area	
Johnson City, TN Metro Area	
Johnstown, PA Metro Area	
Jonesboro, AR Metro Area	
Joplin, MO Metro Area	
Kahului-Wailuku-Lahaina, HI Metro Area	
Kalamazoo-Portage, MI Metro Area	
Kankakee, IL Metro Area	
Kansas City, MO-KS Metro Area	
Kennewick-Richland, WA Metro Area	
Killeen-Temple, TX Metro Area	
Kingsport-Bristol-Bristol, TN-VA Metro Area	
Kingston, NY Metro Area	
Knoxville, TN Metro Area	
Kokomo, IN Metro Area	
La Crosse-Onalaska, WI-MN Metro Area	
Lafayette, LA Metro Area	
Lafayette-West Lafayette, IN Metro Area	
Lake Charles, LA Metro Area	
Lake Havasu City-Kingman, AZ Metro Area	
