ID	Source	SOURCE_coord	Dest	DEST_coord  count
43	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	1050
44	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	1220
45	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	2537
46	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	1680
47	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Brunswick, GA Metro Area	 31.1500,-81.4915	1147
48	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Charleston-North Charleston, SC Metro Area	 32.7876012,-79.9402728	1200
49	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	2694
50	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Chattanooga, TN-GA Metro Area	 35.0456297,-85.3096801	1779
51	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4246
52	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Columbia, SC Metro Area	 34.0007493,-81.0343313	1463
53	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Columbus, GA-AL Metro Area	 32.4609764,-84.9877094	2664
54	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	3880
55	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	1647
56	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	1801
57	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Gainesville, GA Metro Area	 34.2978794,-83.8240663	4322
58	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	1796
59	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	2143
60	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Jacksonville, FL Metro Area	 30.3321838,-81.655651	2420
61	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Knoxville, TN Metro Area	 35.9603948,-83.9210261	1201
62	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	2500
63	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Macon, GA Metro Area	 32.8406946,-83.6324022	2322
64	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Memphis, TN-MS-AR Metro Area	 35.1490215,-90.0516285	1208
65	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	5105
66	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	1176
67	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area	 36.1622296,-86.7743531	2244
68	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	1266
69	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	5872
70	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	1955
71	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Pensacola-Ferry Pass-Brent, FL Metro Area	 30.421309,-87.2169149	1498
72	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	2120
73	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	1393
74	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Rome, GA Metro Area	 34.257038,-85.1646726	1740
75	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	1640
76	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Savannah, GA Metro Area	 32.0809,-81.0912	2836
77	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	1867
78	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	St. Louis, MO-IL Metro Area	 38.6268039,-90.1994097	1173
79	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	1998
