ID	Source	SOURCE_coord	Dest	DEST_coord
172	Provo-Orem, UT Metro Area	 40.2338438,-111.6585337	Salt Lake City, UT Metro Area	 40.7670126,-111.8904308	7071
173	Raleigh, NC Metro Area	 35.7803977,-78.6390989	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	7537
174	Richmond, VA Metro Area	 37.5407,-77.4360	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	 36.8529841,-75.9774183	5905
175	Richmond, VA Metro Area	 37.5407,-77.4360	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	6462
176	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	4478
177	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	4662
178	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	49855
179	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	4018
180	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	13734
181	Rochester, NY Metro Area	 43.1854754,-77.6106861508176	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	5017
182	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	5422
183	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	9639
184	Salem, OR Metro Area	 44.9391565,-123.033121	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	7070
185	Salt Lake City, UT Metro Area	 40.7670126,-111.8904308	Ogden-Clearfield, UT Metro Area	 41.2230048,-111.9738429	7035
186	Salt Lake City, UT Metro Area	 40.7670126,-111.8904308	Provo-Orem, UT Metro Area	 40.2338438,-111.6585337	8273
187	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	9484
188	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	6935
189	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	6741
190	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	15903
191	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	22027
192	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	6005
193	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	14613
194	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	5951
195	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	12836
196	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	San Jose-Sunnyvale-Santa Clara, CA Metro Area	 37.3361905,-121.8905833	18504
197	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	Santa Rosa, CA Metro Area	 38.4404,-122.7141	5594
198	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	4631
199	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	Stockton-Lodi, CA Metro Area	 38.1341, -121.2722	8505
200	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	Vallejo-Fairfield, CA Metro Area	 38.1040864,-122.2566367	7176
201	San Jose-Sunnyvale-Santa Clara, CA Metro Area	 37.3361905,-121.8905833	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	5463
202	San Jose-Sunnyvale-Santa Clara, CA Metro Area	 37.3361905,-121.8905833	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	4925
203	San Jose-Sunnyvale-Santa Clara, CA Metro Area	 37.3361905,-121.8905833	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	26128
204	San Juan-Carolina-Caguas, PR Metro Area	 18.4655,-66.1057	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	7980
205	Santa Rosa, CA Metro Area	 38.4404,-122.7141	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	4275
206	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	Bellingham, WA Metro Area	 48.7544012,-122.4788361	4058
207	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	Bremerton-Silverdale, WA Metro Area	 47.5653663,-122.6246836	4023
208	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	5060
209	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	Olympia-Tumwater, WA Metro Area	 47.0451022,-122.8950075	6006
210	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	4951
211	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	6505
212	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	Spokane-Spokane Valley, WA Metro Area	 47.6579425,-117.4212265	4307
213	Springfield, MA Metro Area	 42.1014831,-72.589811	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	4540
214	St. Cloud, MN Metro Area	 45.5616075,-94.1642004	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	4572
215	St. Louis, MO-IL Metro Area	 38.6268039,-90.1994097	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4321
216	St. Louis, MO-IL Metro Area	 38.6268039,-90.1994097	Springfield, MO Metro Area	 37.2166779,-93.2920373	4053
217	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	Lakeland-Winter Haven, FL Metro Area	 28.0470734,-81.9539892	4059
218	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	4773
219	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	6817
220	Trenton, NJ Metro Area	 40.2170575,-74.7429463	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	8571
221	Trenton, NJ Metro Area	 40.2170575,-74.7429463	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	4897
222	Tucson, AZ Metro Area	 32.2218917,-110.9262353	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	11508
223	Tulsa, OK Metro Area	 36.1556805,-95.9929113	Oklahoma City, OK Metro Area	 35.4729886,-97.5170536	5189
224	Vallejo-Fairfield, CA Metro Area	 38.1040864,-122.2566367	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	5798
225	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	 36.8529841,-75.9774183	Richmond, VA Metro Area	 37.5407,-77.4360	7387
226	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	 36.8529841,-75.9774183	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	8068
227	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	24801
228	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	Blacksburg-Christiansburg-Radford, VA Metro Area	 37.2296566,-80.4136767	4958
229	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	4019
230	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	Hagerstown-Martinsburg, MD-WV Metro Area	 39.6419219,-77.7202641	5680
231	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	9875
232	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	5290
233	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	Richmond, VA Metro Area	 37.5407,-77.4360	10209
234	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	Virginia Beach-Norfolk-Newport News, VA-NC Metro Area	 36.8529841,-75.9774183	8929
235	Winston-Salem, NC Metro Area	 36.0999,-80.2442	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	4752
236	Worcester, MA-CT Metro Area	 42.2625932,-71.8022934	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	11052
