ID	Source	SOURCE_coord	Dest	DEST_coord	count
17	Augusta-Richmond County, GA-SC Metro Area	 33.4709714,-81.9748429	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	3036
18	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	8623
19	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	8736
20	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	7048
21	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	5175
22	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	3505
23	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	5292
24	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Salisbury, MD-DE Metro Area	 38.3662114,-75.6008881	4061
25	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	21789
26	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	York-Hanover, PA Metro Area	 39.962398,-76.727392	3166
27	Barnstable Town, MA Metro Area	 41.278228,-73.600649	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	4067
28	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	3996
29	Beaumont-Port Arthur, TX Metro Area	 30.0860459,-94.1018461	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	4301
30	Bellingham, WA Metro Area	 48.7544012,-122.4788361	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	3091
31	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	Tuscaloosa, AL Metro Area	 33.490251,-86.859181	3243
32	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	4103
33	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Manchester-Nashua, NH Metro Area	 42.9956397,-71.4547891	7830
34	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	3587
35	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	10560
36	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Portland-South Portland, ME Metro Area	 43.6591,-70.2568	3891
37	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Providence-Warwick, RI-MA Metro Area	 41.8240,-71.4128	14371
38	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	3170
39	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Springfield, MA Metro Area	 42.1014831,-72.589811	6473
40	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	5143
41	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Worcester, MA-CT Metro Area	 42.2625932,-71.8022934	11893
42	Boulder, CO Metro Area	 40.102555,-105.3632079	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	9340
43	Bremerton-Silverdale, WA Metro Area	 47.5653663,-122.6246836	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	4366
44	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	4038
45	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	New Haven-Milford, CT Metro Area	 41.3083,-72.9279	5564
46	Bridgeport-Stamford-Norwalk, CT Metro Area	 41.1792,-73.1894	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	6317
47	Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	 42.8867166,-78.8783922	Rochester, NY Metro Area	 43.1854754,-77.6106861508176	3310
48	Canton-Massillon, OH Metro Area	 40.7989522,-81.3784445	Akron, OH Metro Area	 41.083064,-81.518485	3318
49	Champaign-Urbana, IL Metro Area	 40.1164205,-88.2433829	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4163
50	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Columbia, SC Metro Area	 34.0007493,-81.0343313	3281
51	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Raleigh, NC Metro Area	 35.7803977,-78.6390989	3463
52	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	Winston-Salem, NC Metro Area	 36.0999,-80.2442	3377
53	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	4367
54	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Bloomington, IL Metro Area	 40.4731073,-88.9941403	5084
55	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Champaign-Urbana, IL Metro Area	 40.1164205,-88.2433829	8638
56	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	4522
57	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	3544
58	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	3105
59	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	5858
60	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	6095
61	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	6436
62	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Madison, WI Metro Area	 43.074761,-89.3837613	3439
63	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	6936
64	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	4855
65	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	6225
66	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	6216
67	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Rockford, IL Metro Area	 42.2713945,-89.093966	3941
68	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	3364
69	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	St. Louis, MO-IL Metro Area	 38.6268039,-90.1994097	5100
70	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	3397
71	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	3926
72	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	Columbus, OH Metro Area	 39.9622601,-83.0007065	5692
73	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	Dayton, OH Metro Area	 39.7589478,-84.1916069	5240
74	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	Akron, OH Metro Area	 41.083064,-81.518485	8605
75	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	Columbus, OH Metro Area	 39.9622601,-83.0007065	6424
76	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	4096
77	Colorado Springs, CO Metro Area	 38.8339578,-104.8253485	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	6842
78	Columbia, SC Metro Area	 34.0007493,-81.0343313	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	3115
79	Columbus, OH Metro Area	 39.9622601,-83.0007065	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	5212
80	Columbus, OH Metro Area	 39.9622601,-83.0007065	Cleveland-Elyria, OH Metro Area	 41.5051613,-81.6934446	3156
81	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Abilene, TX Metro Area	 32.4466741,-99.7333011	3473
82	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	3113
83	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	11931
84	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	4663
85	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	3021
86	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	16319
87	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Lubbock, TX Metro Area	 33.5778631,-101.8551665	5206
88	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Oklahoma City, OK Metro Area	 35.4729886,-97.5170536	5155
89	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	7375
90	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	Waco, TX Metro Area	 31.549333,-97.1466695	3003
91	Dayton, OH Metro Area	 39.7589478,-84.1916069	Cincinnati, OH-KY-IN Metro Area	 39.1014537,-84.5124602	6282
92	Dayton, OH Metro Area	 39.7589478,-84.1916069	Columbus, OH Metro Area	 39.9622601,-83.0007065	3568
93	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	4417
94	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Boulder, CO Metro Area	 40.102555,-105.3632079	8517
95	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Colorado Springs, CO Metro Area	 38.8339578,-104.8253485	7235
96	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	5640
97	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Greeley, CO Metro Area	 38.4570355,-101.8185007	6795
98	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	3431
99	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Ann Arbor, MI Metro Area	 42.2681569,-83.7312291	13026
100	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3798
101	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Flint, MI Metro Area	 43.0171773,-83.7236024	5557
102	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	5859
103	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Lansing-East Lansing, MI Metro Area	 42.7337712,-84.5553805	8974
104	Dover, DE Metro Area	 39.158168,-75.5243682	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	3219
105	Duluth, MN-WI Metro Area	 46.7729322,-92.1251218	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	4192
106	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	Raleigh, NC Metro Area	 35.7803977,-78.6390989	5806
107	Eugene, OR Metro Area	 44.0505054,-123.0950506	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	4148
108	Flagstaff, AZ Metro Area	 35.199458,-111.6514259	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	3559
109	Flint, MI Metro Area	 43.0171773,-83.7236024	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	5136
110	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	4011
111	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	Greeley, CO Metro Area	 38.4570355,-101.8185007	3625
112	Gainesville, GA Metro Area	 34.2978794,-83.8240663	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	3999
113	Greeley, CO Metro Area	 38.4570355,-101.8185007	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	4803
114	Greeley, CO Metro Area	 38.4570355,-101.8185007	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	3248
115	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	3282
116	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Winston-Salem, NC Metro Area	 36.0999,-80.2442	4629
117	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Spartanburg, SC Metro Area	 34.9498007,-81.9320157	4134
118	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	New Haven-Milford, CT Metro Area	 41.3083,-72.9279	5752
119	Hickory-Lenoir-Morganton, NC Metro Area	 35.7333312,-81.3442915	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	3157
120	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	13212
121	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Beaumont-Port Arthur, TX Metro Area	 30.0860459,-94.1018461	4315
122	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	7098
123	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	14093
124	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	8508
125	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Bloomington, IN Metro Area	 39.1670396,-86.5342881	5521
126	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3414
127	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Lafayette-West Lafayette, IN Metro Area	 40.4167022,-86.8752869	3075
128	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Muncie, IN Metro Area	 40.1936683,-85.3865114	4162
129	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	Lawrence, KS Metro Area	 38.9719384,-95.2359496	3590
130	Killeen-Temple, TX Metro Area	 31.1171441,-97.727796	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	3190
131	Killeen-Temple, TX Metro Area	 31.1171441,-97.727796	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	3029
132	Kingston, NY Metro Area	 41.9287812,-74.0023702	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	3407
133	Knoxville, TN Metro Area	 35.9603948,-83.9210261	Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area	 36.1622296,-86.7743531	3073
134	Lakeland-Winter Haven, FL Metro Area	 28.0470734,-81.9539892	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	7347
135	Lakeland-Winter Haven, FL Metro Area	 28.0470734,-81.9539892	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	3729
136	Lansing-East Lansing, MI Metro Area	 42.7337712,-84.5553805	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	3296
137	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	7533
138	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	3285
139	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	3672
140	Lawrence, KS Metro Area	 38.9719384,-95.2359496	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	3945
141	Lincoln, NE Metro Area	 40.8,-96.667821	Omaha-Council Bluffs, NE-IA Metro Area	 41.2587317,-95.9378732	3869
142	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	11749
143	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	3199
144	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4382
145	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	7834
146	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	3922
147	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Fresno, CA Metro Area	 36.7295295,-119.708861260756	4621
148	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	4942
149	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	15264
150	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	9486
151	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Oxnard-Thousand Oaks-Ventura, CA Metro Area	 34.1976308,-119.1803818	10835
152	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	9908
153	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	4276
154	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	83445
155	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	7423
156	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	17228
157	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	17046
158	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Jose-Sunnyvale-Santa Clara, CA Metro Area	 37.3361905,-121.8905833	5924
159	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area	 35.2827525,-120.6596156	3436
160	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Santa Maria-Santa Barbara, CA Metro Area	 34.9531295,-120.4358577	5208
161	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	6964
162	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	4420
163	Louisville/Jefferson County, KY-IN Metro Area	 38.209237,-85.7038502	Lexington-Fayette, KY Metro Area	 38.0464066,-84.4970393	3249
164	Lubbock, TX Metro Area	 33.5778631,-101.8551665	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	3248
165	Manchester-Nashua, NH Metro Area	 42.9956397,-71.4547891	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	6534
166	Memphis, TN-MS-AR Metro Area	 35.1490215,-90.0516285	Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area	 36.1622296,-86.7743531	3046
167	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	6751
168	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Cape Coral-Fort Myers, FL Metro Area	 26.6059432,-81.9806771	4090
169	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3088
170	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Gainesville, FL Metro Area	 29.67357765,-82.3233746019217	4613
171	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Jacksonville, FL Metro Area	 30.3321838,-81.655651	5404
172	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	3460
173	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	9979
174	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	13499
175	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Port St. Lucie, FL Metro Area	 27.2939333,-80.3503283	6804
176	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Tallahassee, FL Metro Area	 30.4380832,-84.2809332	5097
