ID	Source	SOURCE_coord	Dest	DEST_coord	count
40	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	3505
41	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	5292
42	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Salisbury, MD-DE Metro Area	 38.3662114,-75.6008881	4061
43	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	21789
44	Baltimore-Columbia-Towson, MD Metro Area	 39.2908816,-76.610759	York-Hanover, PA Metro Area	 39.962398,-76.727392	3166
45	Barnstable Town, MA Metro Area	 41.278228,-73.600649	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	4067
46	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	2054
47	Baton Rouge, LA Metro Area	 30.4459596,-91.18738	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	3996
48	Beaumont-Port Arthur, TX Metro Area	 30.0860459,-94.1018461	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	4301
49	Bellingham, WA Metro Area	 48.7544012,-122.4788361	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	3091
50	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	Montgomery, AL Metro Area	 40.85239,-78.266098	2167
51	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	Tuscaloosa, AL Metro Area	 33.490251,-86.859181	3243
52	Blacksburg-Christiansburg-Radford, VA Metro Area	 37.2296566,-80.4136767	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	2024
53	Bloomington, IN Metro Area	 39.1670396,-86.5342881	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	2477
54	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Barnstable Town, MA Metro Area	 41.278228,-73.600649	2788
55	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	2459
56	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	4103
57	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	Manchester-Nashua, NH Metro Area	 42.9956397,-71.4547891	7830
