ID	Source	SOURCE_coord	Dest	DEST_coord	count
177	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	2778
178	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	3431
179	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	2489
180	Des Moines-West Des Moines, IA Metro Area	 41.5910641,-93.6037149	Ames, IA Metro Area	 42.0267703,-93.6170554	2283
181	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Ann Arbor, MI Metro Area	 42.2681569,-83.7312291	13026
182	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2604
183	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3798
184	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Flint, MI Metro Area	 43.0171773,-83.7236024	5557
185	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	5859
186	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Jackson, MI Metro Area	 32.2990384,-90.1847691	2105
187	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Kalamazoo-Portage, MI Metro Area	 42.291707,-85.5872286	2429
188	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Lansing-East Lansing, MI Metro Area	 42.7337712,-84.5553805	8974
189	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Monroe, MI Metro Area	 41.9145037,-83.3968252	2575
190	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2008
191	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	2604
192	Dover, DE Metro Area	 39.158168,-75.5243682	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	3219
193	Duluth, MN-WI Metro Area	 46.7729322,-92.1251218	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	4192
194	Durham-Chapel Hill, NC Metro Area	 36.0181316,-78.8751582	Raleigh, NC Metro Area	 35.7803977,-78.6390989	5806
195	El Paso, TX Metro Area	 31.7600372,-106.487287	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	2259
196	El Paso, TX Metro Area	 31.7600372,-106.487287	Las Cruces, NM Metro Area	 32.3140354,-106.7798078	2522
197	Elkhart-Goshen, IN Metro Area	 41.6819935,-85.9766671	South Bend-Mishawaka, IN-MI Metro Area	 41.6833813,-86.2500066	2022
198	Eugene, OR Metro Area	 44.0505054,-123.0950506	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	4148
199	Flagstaff, AZ Metro Area	 35.199458,-111.6514259	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	3559
200	Flint, MI Metro Area	 43.0171773,-83.7236024	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	5136
201	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	4011
202	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	Greeley, CO Metro Area	 38.4570355,-101.8185007	3625
203	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	2008
204	Fresno, CA Metro Area	 36.7295295,-119.708861260756	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	2444
205	Fresno, CA Metro Area	 36.7295295,-119.708861260756	Visalia-Porterville, CA Metro Area	 36.3302284,-119.2920585	2433
206	Gainesville, GA Metro Area	 34.2978794,-83.8240663	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	3999
207	Gettysburg, PA Metro Area	 39.8309399,-77.2310908	York-Hanover, PA Metro Area	 39.962398,-76.727392	2437
208	Glens Falls, NY Metro Area	 43.309941,-73.644447	Albany-Schenectady-Troy, NY Metro Area	 42.6511674,-73.754968	2003
209	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	2533
210	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Lansing-East Lansing, MI Metro Area	 42.7337712,-84.5553805	2489
211	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	Muskegon, MI Metro Area	 43.2341813,-86.2483921	2821
212	Greeley, CO Metro Area	 38.4570355,-101.8185007	Boulder, CO Metro Area	 40.102555,-105.3632079	2916
213	Greeley, CO Metro Area	 38.4570355,-101.8185007	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	4803
214	Greeley, CO Metro Area	 38.4570355,-101.8185007	Fort Collins, CO Metro Area	 40.5508527,-105.0668085	3248
215	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	3282
216	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Raleigh, NC Metro Area	 35.7803977,-78.6390989	2046
217	Greensboro-High Point, NC Metro Area	 36.0726355,-79.7919754	Winston-Salem, NC Metro Area	 36.0999,-80.2442	4629
218	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Charleston-North Charleston, SC Metro Area	 32.7876012,-79.9402728	2038
219	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Columbia, SC Metro Area	 34.0007493,-81.0343313	2615
220	Greenville-Anderson-Mauldin, SC Metro Area	 34.851354,-82.3984882	Spartanburg, SC Metro Area	 34.9498007,-81.9320157	4134
221	Hagerstown-Martinsburg, MD-WV Metro Area	 39.6419219,-77.7202641	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	2857
222	Harrisburg-Carlisle, PA Metro Area	 40.2663107,-76.8861122	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	2201
223	Harrisburg-Carlisle, PA Metro Area	 40.2663107,-76.8861122	York-Hanover, PA Metro Area	 39.962398,-76.727392	2181
224	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	2486
225	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	New Haven-Milford, CT Metro Area	 41.3083,-72.9279	5752
226	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2241
227	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	Norwich-New London, CT Metro Area	 41.3557,-72.0995	2629
228	Hartford-West Hartford-East Hartford, CT Metro Area	 33.4700252,-84.63344	Worcester, MA-CT Metro Area	 42.2625932,-71.8022934	2094
229	Hickory-Lenoir-Morganton, NC Metro Area	 35.7333312,-81.3442915	Charlotte-Concord-Gastonia, NC-SC Metro Area	 35.2270869,-80.8431268	3157
230	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	2267
231	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	2042
232	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	2283
233	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	2327
234	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2057
235	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	13212
236	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Beaumont-Port Arthur, TX Metro Area	 30.0860459,-94.1018461	4315
237	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	2623
238	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	College Station-Bryan, TX Metro Area	 30.6253463,-96.3271538	7098
239	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Corpus Christi, TX Metro Area	 27.8002542,-97.3955744	2620
240	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	14093
241	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	2432
242	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	2705
243	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	New Orleans-Metairie, LA Metro Area	 29.9499323,-90.0701156	2495
244	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	2646
245	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	2279
246	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	8508
247	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Bloomington, IN Metro Area	 39.1670396,-86.5342881	5521
248	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3414
249	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Lafayette-West Lafayette, IN Metro Area	 40.4167022,-86.8752869	3075
250	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Muncie, IN Metro Area	 40.1936683,-85.3865114	4162
251	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	Terre Haute, IN Metro Area	 39.4667025,-87.4139119	2035
252	Jacksonville, FL Metro Area	 30.3321838,-81.655651	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	2010
253	Jacksonville, FL Metro Area	 30.3321838,-81.655651	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	2810
254	Jacksonville, FL Metro Area	 30.3321838,-81.655651	Tallahassee, FL Metro Area	 30.4380832,-84.2809332	2134
255	Jacksonville, FL Metro Area	 30.3321838,-81.655651	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	2504
256	Johnson City, TN Metro Area	 36.3134398,-82.3534728	Kingsport-Bristol-Bristol, TN-VA Metro Area	 36.550238,-82.5594293	2177
257	Kalamazoo-Portage, MI Metro Area	 42.291707,-85.5872286	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	2201
258	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	2371
259	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	Lawrence, KS Metro Area	 38.9719384,-95.2359496	3590
260	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	Springfield, MO Metro Area	 37.2166779,-93.2920373	2025
261	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	St. Joseph, MO-KS Metro Area	 39.7686055,-94.8466322	2854
262	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	St. Louis, MO-IL Metro Area	 38.6268039,-90.1994097	2626
263	Killeen-Temple, TX Metro Area	 31.1171441,-97.727796	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	3190
264	Killeen-Temple, TX Metro Area	 31.1171441,-97.727796	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	3029
265	Kingsport-Bristol-Bristol, TN-VA Metro Area	 36.550238,-82.5594293	Johnson City, TN Metro Area	 36.3134398,-82.3534728	2178
266	Kingston, NY Metro Area	 41.9287812,-74.0023702	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	3407
267	Knoxville, TN Metro Area	 35.9603948,-83.9210261	Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area	 36.1622296,-86.7743531	3073
268	Lake Havasu City-Kingman, AZ Metro Area	 34.4838502,-114.3224495	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	2352
269	Lakeland-Winter Haven, FL Metro Area	 28.0470734,-81.9539892	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	7347
270	Lakeland-Winter Haven, FL Metro Area	 28.0470734,-81.9539892	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	3729
271	Lancaster, PA Metro Area	 40.03813,-76.3056686	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area	 39.9527237,-75.1635262	2257
272	Lansing-East Lansing, MI Metro Area	 42.7337712,-84.5553805	Detroit-Warren-Dearborn, MI Metro Area	 42.3315509,-83.0466403	3296
273	Las Cruces, NM Metro Area	 32.3140354,-106.7798078	El Paso, TX Metro Area	 31.7600372,-106.487287	2103
274	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	7533
275	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	3285
276	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	Reno, NV Metro Area	 39.52927,-119.8136744	2798
277	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	3672
278	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	2551
279	Lawrence, KS Metro Area	 38.9719384,-95.2359496	Kansas City, MO-KS Metro Area	 39.100105,-94.5781416	3945
280	Lexington-Fayette, KY Metro Area	 38.0464066,-84.4970393	Louisville/Jefferson County, KY-IN Metro Area	 38.209237,-85.7038502	2552
281	Lincoln, NE Metro Area	 40.8,-96.667821	Omaha-Council Bluffs, NE-IA Metro Area	 41.2587317,-95.9378732	3869
282	Little Rock-North Little Rock-Conway, AR Metro Area	 34.7464809,-92.2895948	Fayetteville-Springdale-Rogers, AR-MO Metro Area	 36.0625843,-94.1574328	2028
283	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2891
284	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Austin-Round Rock, TX Metro Area	 30.2711286,-97.7436995	2509
285	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Bakersfield, CA Metro Area	 35.3738712,-119.0194639	11749
286	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	3199
287	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	4382
288	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	7834
289	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Denver-Aurora-Lakewood, CO Metro Area	 39.7348381,-104.9653271	3922
290	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Fresno, CA Metro Area	 36.7295295,-119.708861260756	4621
291	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Honolulu, HI Metro Area	 21.3250785,-157.846644178573	2092
292	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	4942
293	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Las Vegas-Henderson-Paradise, NV Metro Area	 36.1662859,-115.149225	15264
294	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	2347
295	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	9486
296	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Oxnard-Thousand Oaks-Ventura, CA Metro Area	 34.1976308,-119.1803818	10835
297	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	9908
298	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Portland-Vancouver-Hillsboro, OR-WA Metro Area	 45.5202471,-122.6741949	4276
299	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	83445
300	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Sacramento--Roseville--Arden-Arcade, CA Metro Area	 38.5815719,-121.4943996	7423
301	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	2255
302	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Diego-Carlsbad, CA Metro Area	 32.7174209,-117.1627714	17228
303	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Francisco-Oakland-Hayward, CA Metro Area	 37.7749,-122.4194	17046
304	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Jose-Sunnyvale-Santa Clara, CA Metro Area	 37.3361905,-121.8905833	5924
305	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area	 35.2827525,-120.6596156	3436
306	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Santa Maria-Santa Barbara, CA Metro Area	 34.9531295,-120.4358577	5208
307	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	6964
308	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Tucson, AZ Metro Area	 32.2218917,-110.9262353	2239
309	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	4420
310	Louisville/Jefferson County, KY-IN Metro Area	 38.209237,-85.7038502	Elizabethtown-Fort Knox, KY Metro Area	 37.693952,-85.8591285	2533
311	Louisville/Jefferson County, KY-IN Metro Area	 38.209237,-85.7038502	Lexington-Fayette, KY Metro Area	 38.0464066,-84.4970393	3249
312	Lubbock, TX Metro Area	 33.5778631,-101.8551665	Dallas-Fort Worth-Arlington, TX Metro Area	 32.7762719,-96.7968559	3248
313	Macon, GA Metro Area	 32.8406946,-83.6324022	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2471
314	Madera, CA Metro Area	 37.1716264,-119.7737991	Fresno, CA Metro Area	 36.7295295,-119.708861260756	2209
315	Madera, CA Metro Area	 37.1716264,-119.7737991	Riverside-San Bernardino-Ontario, CA Metro Area	 33.9806, -117.3755	2219
316	Madison, WI Metro Area	 43.074761,-89.3837613	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	2021
317	Madison, WI Metro Area	 43.074761,-89.3837613	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	2326
318	Manchester-Nashua, NH Metro Area	 42.9956397,-71.4547891	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	6534
319	Mankato-North Mankato, MN Metro Area	 44.1634663,-93.9993505	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	2443
320	McAllen-Edinburg-Mission, TX Metro Area	 26.2043691,-98.230082	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	2935
321	McAllen-Edinburg-Mission, TX Metro Area	 26.2043691,-98.230082	San Antonio-New Braunfels, TX Metro Area	 29.4246002,-98.4951405	2887
322	Memphis, TN-MS-AR Metro Area	 35.1490215,-90.0516285	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	2527
323	Memphis, TN-MS-AR Metro Area	 35.1490215,-90.0516285	Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area	 36.1622296,-86.7743531	3046
324	Merced, CA Metro Area	 37.3029568,-120.4843269	Modesto, CA Metro Area	 37.6390972,-120.9968782	2214
325	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Atlanta-Sandy Springs-Roswell, GA Metro Area	 33.7490987,-84.3901849	6751
326	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Boston-Cambridge-Newton, MA-NH Metro Area	 42.3602534,-71.0582912	2519
327	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Cape Coral-Fort Myers, FL Metro Area	 26.6059432,-81.9806771	4090
328	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3088
329	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	 28.9005446,-81.2636738	2003
330	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Gainesville, FL Metro Area	 29.67357765,-82.3233746019217	4613
331	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Houston-The Woodlands-Sugar Land, TX Metro Area	 29.7589382,-95.3676974	2682
332	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Jacksonville, FL Metro Area	 30.3321838,-81.655651	5404
333	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Los Angeles-Long Beach-Anaheim, CA Metro Area	 34.0536909,-118.2427666	3460
334	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Naples-Immokalee-Marco Island, FL Metro Area	 26.1421976,-81.7942944	2456
335	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	New York-Newark-Jersey City, NY-NJ-PA Metro Area	 40.7127281,-74.0060152	9979
336	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Orlando-Kissimmee-Sanford, FL Metro Area	 28.5479786,-81.4127841856302	13499
337	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Palm Bay-Melbourne-Titusville, FL Metro Area	 28.0331886,-80.6429695	2361
338	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Port St. Lucie, FL Metro Area	 27.2939333,-80.3503283	6804
339	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Tallahassee, FL Metro Area	 30.4380832,-84.2809332	5097
340	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Tampa-St. Petersburg-Clearwater, FL Metro Area	 27.9518491,-82.4563972	7403
341	Miami-Fort Lauderdale-West Palm Beach, FL Metro Area	 25.7742658,-80.1936589	Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area	 38.8950092,-77.0365625	3850
342	Midland, TX Metro Area	 31.9973662,-102.0779482	Odessa, TX Metro Area	 31.8457149,-102.367687	2019
343	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3632
344	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	Madison, WI Metro Area	 43.074761,-89.3837613	4343
345	Milwaukee-Waukesha-West Allis, WI Metro Area	 43.0349931,-87.922497	Racine, WI Metro Area	 42.7260523,-87.7825242	2485
346	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	 41.8755616,-87.6244212	3351
347	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	Duluth, MN-WI Metro Area	 46.7729322,-92.1251218	5059
348	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	Fargo, ND-MN Metro Area	 46.877229,-96.789821	2993
349	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	Mankato-North Mankato, MN Metro Area	 44.1634663,-93.9993505	3210
350	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	Phoenix-Mesa-Scottsdale, AZ Metro Area	 33.4485866,-112.0773456	2808
351	Minneapolis-St. Paul-Bloomington, MN-WI Metro Area	 44.9772995,-93.2654692	St. Cloud, MN Metro Area	 45.5616075,-94.1642004	7697
352	Modesto, CA Metro Area	 37.6390972,-120.9968782	Stockton-Lodi, CA Metro Area	 38.1341, -121.2722	3118
353	Montgomery, AL Metro Area	 40.85239,-78.266098	Birmingham-Hoover, AL Metro Area	 33.570499,-86.765783	2676
354	Mount Vernon-Anacortes, WA Metro Area	 48.4200462,-122.32642	Seattle-Tacoma-Bellevue, WA Metro Area	 47.6038321,-122.3300624	2160
355	Muncie, IN Metro Area	 40.1936683,-85.3865114	Indianapolis-Carmel-Anderson, IN Metro Area	 39.7683331,-86.1583502	2626
356	Muskegon, MI Metro Area	 43.2341813,-86.2483921	Grand Rapids-Wyoming, MI Metro Area	 42.9142413,-85.533004	2766
357	Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area	 33.6956461,-78.8900409	Wilmington, NC Metro Area	 34.2257282,-77.9447107	2231
