Metro,Degree,Eigenvector,Closeness,Betweenness,Harmonic
"Albuquerque, NM Metro Area",1.0604534005037782,0.043336753573607015,1891.8872744124126,0.00246164414930158,1047543.2811814665
"Abilene, TX Metro Area",0.5214105793450882,0.0202800541425485,1387.5919116154741,0.0,690855.2678067201
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.8816120906801007,0.020750456970975707,1629.6445941879997,0.0,890014.2313369242
"Amarillo, TX Metro Area",0.526448362720403,0.02543700576567072,1701.3667704997144,0.0,876216.4400678104
"Anchorage, AK Metro Area",1.1738035264483626,0.033434401719669556,2037.2018186512337,0.0,974286.8587714585
"Atlanta-Sandy Springs-Roswell, GA Metro Area",1.6675062972292192,0.17240917587802246,2403.118574236343,0.01483983410935552,1482700.9788389276
"Austin-Round Rock, TX Metro Area",1.3476070528967254,0.11681664837737764,2089.01749522917,0.0,1260322.8816174602
"Bakersfield, CA Metro Area",0.7984886649874056,0.03150915369527875,1660.4665024021228,0.0024934483372770527,894777.2687457812
"Baltimore-Columbia-Towson, MD Metro Area",1.3778337531486147,0.06478600404426575,2090.337093065304,0.016748085387883877,1117162.1080977404
"Baton Rouge, LA Metro Area",0.8513853904282116,0.026283209862308473,1693.1307623124073,0.0024489224741113913,806101.6358389707
"Beaumont-Port Arthur, TX Metro Area",0.5944584382871536,0.02547658377250586,1551.1641689873775,0.0,778267.9977854324
"Birmingham-Hoover, AL Metro Area",1.035264483627204,0.039039224087529883,1892.3765571709703,0.00246164414930158,993443.5702250797
"Boise City, ID Metro Area",0.889168765743073,0.049359669066198285,1981.608448631198,0.0,1132033.504691532
"Boston-Cambridge-Newton, MA-NH Metro Area",1.463476070528967,0.08533551039373487,2188.8119936339504,0.027408849197262296,1144597.5426973104
"Brownsville-Harlingen, TX Metro Area",0.43324937027707805,0.006860198839934666,1040.3275605908746,0.0,321945.09080087795
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",0.9042821158690176,0.027230937145581793,1811.5689415001864,0.0,800752.1816384087
"Charleston-North Charleston, SC Metro Area",1.2141057934508817,0.039686235075750184,1675.6430322911494,0.0,955832.4832705656
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1.3677581863979849,0.08463288853498976,2213.9023792025628,0.0,1212322.186569845
"Cheyenne, WY Metro Area",0.5541561712846348,0.010052427682893477,1308.4801661830857,0.0,535515.2197739703
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.7858942065491183,0.14595619088980544,2427.0134084408933,0.01748594254891484,1400016.0266501063
"Cleveland-Elyria, OH Metro Area",1.2292191435768263,0.048614258248060566,2060.106926087915,0.004967814161768822,1055180.2193359223
"College Station-Bryan, TX Metro Area",0.6272040302267002,0.03557336823629988,1495.1566768647317,0.0,859679.6487348322
"Colorado Springs, CO Metro Area",1.3073047858942066,0.05399653634516012,1880.3294270195877,0.0,1052328.254714631
"Columbia, SC Metro Area",1.256926952141058,0.04697698559484032,1692.2806481988603,0.00246164414930158,1031329.2324498191
"Corpus Christi, TX Metro Area",0.7128463476070529,0.033101206790105094,1657.988790947705,0.0,887885.7207875939
"Dallas-Fort Worth-Arlington, TX Metro Area",1.7732997481108312,0.21992281521977056,2423.670840466925,0.0,1546761.6526748107
"Dayton, OH Metro Area",1.0428211586901763,0.03755490453644607,1805.7344599438015,0.00246164414930158,945500.8672859158
"Denver-Aurora-Lakewood, CO Metro Area",1.5743073047858942,0.10940194283016937,2255.2898708733437,0.009948349998727834,1304166.0645665813
"Detroit-Warren-Dearborn, MI Metro Area",1.5188916876574308,0.07044472297273903,2283.11808197287,0.014903442485306466,1184913.4643362868
"El Paso, TX Metro Area",0.9697732997481108,0.02355809886630448,1795.3782071126316,0.0,664884.2258337116
"Fairbanks, AK Metro Area",0.6926952141057934,0.014814802338311955,1304.8978939831459,0.0,637721.040093697
"Fayetteville, NC Metro Area",1.035264483627204,0.03335951233222655,1944.4959645869535,0.0,937751.8680125506
"Flagstaff, AZ Metro Area",0.5591939546599496,0.013843710104545387,1384.0490225037242,0.0,732094.6893880349
"Fresno, CA Metro Area",0.7178841309823677,0.017868780874512248,1377.9185463457204,0.00034984606773019874,660708.6941715203
"Gainesville, GA Metro Area",0.4030226700251889,0.01446294407143188,1489.4722752325586,0.0,697174.7666326825
"Grand Rapids-Wyoming, MI Metro Area",1.0277078085642317,0.05432717479981809,2128.7193912517173,0.0,1161495.4207582253
"Gulfport-Biloxi-Pascagoula, MS Metro Area",0.9697732997481108,0.02282345480937111,1566.9875918876169,0.0,771663.7458395037
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",0.7355163727959697,0.014530619548851055,909.3672944235726,0.0,546254.5753743564
"Houston-The Woodlands-Sugar Land, TX Metro Area",1.6171284634760705,0.1897060535952849,2384.392295224182,0.007499427524616442,1486132.4584762647
"Indianapolis-Carmel-Anderson, IN Metro Area",1.3022670025188916,0.062449154519633766,2161.1136578611563,0.007442179986260592,1156586.1305566705
"Jacksonville, FL Metro Area",1.2267002518891688,0.057066014362666645,2019.247145407966,0.0,1043134.6921249134
"Jacksonville, NC Metro Area",1.0428211586901763,0.019903470058790725,1538.36100987819,0.0,652339.8694025344
"Joplin, MO Metro Area",0.4282115869017632,0.01304531764814865,1358.284708566553,0.0,630806.2230508758
"Kansas City, MO-KS Metro Area",1.4231738035264483,0.08011557090837848,2285.2074089244634,0.004980535836959011,1277272.0550227102
"Killeen-Temple, TX Metro Area",1.0604534005037782,0.035230353915143675,1821.5297310487767,0.0,845742.0763930969
"Knoxville, TN Metro Area",1.0201511335012594,0.04200350483034262,2008.8084143544154,0.0,1047572.7308805155
"Lake Charles, LA Metro Area",0.37531486146095716,0.011974155317112482,1351.3173589818036,0.0,564863.3817002346
"Las Cruces, NM Metro Area",0.45088161209068006,0.015710607827585283,1276.303724779509,0.0,674203.2344996888
"Las Vegas-Henderson-Paradise, NV Metro Area",1.473551637279597,0.0781740949817032,2058.9661630208784,0.0,1069711.9333306774
"Lawrence, KS Metro Area",0.49874055415617125,0.010482593034932331,1436.3116855186079,0.0,608009.1623395361
"Lawton, OK Metro Area",0.7556675062972292,0.023193129903095928,1300.799136036228,0.0,807851.7003826548
"Little Rock-North Little Rock-Conway, AR Metro Area",0.8866498740554156,0.040686065384460256,2025.2033335082394,0.0,1055979.9108616114
"Longview, TX Metro Area",0.47858942065491183,0.025147791194130863,1608.1383869726862,0.0,819797.9978481821
"Los Angeles-Long Beach-Anaheim, CA Metro Area",1.7506297229219143,0.17249378911244162,2306.492494454609,0.05470956415540799,1271007.4638735407
