metro,white_value,white_rank,black_value,black_rank,asian_value,asian_rank,other_value,other_rank
"Alexandria, LA Metro Area",0.0007064637727091195,345,0.0010983020200886207,208.0,0.00040025339381032657,385.0,0.0005225502653080582,364
"Mansfield, OH Metro Area",0.0007033226553154346,346,0.0009828743701388938,230.0,0.00043358129434964963,351.0,0.0010170084720178985,239
"Utica-Rome, NY Metro Area",0.0007023921760363981,347,0.0007790684758377579,280.0,0.0007221678501372871,233.0,0.0007747356386467119,304
"Sheboygan, WI Metro Area",0.0007018766316760235,348,0.0006373446189950997,308.0,0.000688378938801363,243.0,0.0005379459350358672,360
"Barnstable Town, MA Metro Area",0.0006994923859041586,349,0.00045021847275856093,370.0,0.0004377339227252804,348.0,0.0005242848300761134,363
"Albany, GA Metro Area",0.000698257655677504,350,0.002478662419817943,88.0,0.0009361967915237109,177.0,0.0006406119696400897,334
"El Centro, CA Metro Area",0.0006950891885433199,351,0.0005985342881047547,321.0,0.0004659855343253044,326.0,0.0017519888738849467,140
"Dothan, AL Metro Area",0.0006941242734219003,352,0.000812997257973798,271.0,0.0006415621192074283,256.0,0.0006901194675361404,325
"Wenatchee, WA Metro Area",0.000683108172239982,353,0.0004821568369479587,358.0,0.00044531479231380754,339.0,0.0009870615012628513,244
"Joplin, MO Metro Area",0.0006823650939579435,354,0.0005616025762064141,333.0,0.000445178068130133,340.0,0.0008345461207601215,285
"Kankakee, IL Metro Area",0.0006755604184536897,355,0.000952931187185739,241.0,0.0004653970966860509,327.0,0.0005015993967465813,373
"Victoria, TX Metro Area",0.0006717557750780856,356,0.0005135593555938863,346.0,0.00040025339381032657,380.0,0.0005222576794156518,366
"Kahului-Wailuku-Lahaina, HI Metro Area",0.0006710575683881338,357,0.0004547717921025733,369.0,0.000722926084715587,232.0,0.0010647404060088756,230
"Pittsfield, MA Metro Area",0.0006699759235540565,358,0.00047555159108905574,364.0,0.00048124840350293385,316.0,0.0006428551108970124,333
"Casper, WY Metro Area",0.0006666742002807858,359,0.0004436474936499728,371.0,,,0.0004916305304514816,378
"Staunton-Waynesboro, VA Metro Area",0.0006562002846506741,360,0.0009677904967589321,235.0,0.0005325268165908494,292.0,0.0006250966455654047,336
"Walla Walla, WA Metro Area",0.000654309549401342,361,0.0006653017669149363,301.0,0.0005447383688371647,286.0,0.0012211910194489084,205
"Jonesboro, AR Metro Area",0.0006531442703188417,362,0.0005000917666940084,355.0,0.00042180234085903255,359.0,0.0005791736009551234,352
"Beckley, WV Metro Area",0.0006425634969835976,363,0.0007380555470221417,290.0,0.0004078109484288948,368.0,0.0004415362593359908,386
"Janesville-Beloit, WI Metro Area",0.0006368709516357014,364,0.0005009159739286946,354.0,0.0005285389904950465,295.0,0.0005013969198436923,374
"Decatur, IL Metro Area",0.0006365268938035241,365,0.0005516777438479782,334.0,0.000472327338810602,322.0,0.0005661853881956,353
