msa,pcpi
"Joplin, MO","36,599"
"Kahului-Wailuku-Lahaina, HI","43,557"
"Kalamazoo-Portage, MI","42,596"
"Kankakee, IL","37,425"
"Kansas City, MO-KS","49,401"
"Kennewick-Richland, WA","41,460"
"Killeen-Temple, TX","39,703"
"Kingsport-Bristol-Bristol, TN-VA","36,897"
"Kingston, NY","44,775"
"Knoxville, TN","41,611"
"Kokomo, IN","37,717"
"La Crosse-Onalaska, WI-MN","45,219"
"Lafayette, LA","43,103"
"Lafayette-West Lafayette, IN","35,385"
"Lake Charles, LA","43,660"
"Lake Havasu City-Kingman, AZ","29,296"
"Lakeland-Winter Haven, FL","33,535"
"Lancaster, PA","46,346"
"Lansing-East Lansing, MI","38,135"
"Laredo, TX","29,577"
"Las Cruces, NM","33,628"
"Las Vegas-Henderson-Paradise, NV","42,665"
"Lawrence, KS","39,671"
"Lawton, OK","39,252"
"Lebanon, PA","42,949"
"Lewiston, ID-WA","40,581"
"Lewiston-Auburn, ME","37,876"
"Lexington-Fayette, KY","44,377"
"Lima, OH","38,332"
"Lincoln, NE","45,029"
"Little Rock-North Little Rock-Conway, AR","42,066"
"Logan, UT-ID","34,395"
"Longview, TX","40,837"
"Longview, WA","41,093"
"Los Angeles-Long Beach-Anaheim, CA","56,749"
"Louisville/Jefferson County, KY-IN","45,009"
"Lubbock, TX","39,404"
"Lynchburg, VA","37,623"
"Macon-Bibb County, GA","37,640"
"Madera, CA","36,275"
"Madison, WI","53,233"
"Manchester-Nashua, NH","55,542"
"Manhattan, KS","41,789"
"Mankato-North Mankato, MN","43,677"
"Mansfield, OH","36,241"
"McAllen-Edinburg-Mission, TX","25,020"
"Medford, OR","41,374"
"Memphis, TN-MS-AR","42,588"
"Merced, CA","36,226"
"Miami-Fort Lauderdale-West Palm Beach, FL","51,134"
"Michigan City-La Porte, IN","37,574"
"Midland, MI","40,607"
"Midland, TX","88,501"
"Milwaukee-Waukesha-West Allis, WI","51,223"
"Minneapolis-St. Paul-Bloomington, MN-WI","56,495"
"Missoula, MT","45,038"
"Mobile, AL","35,924"
"Modesto, CA","40,935"
"Monroe, LA","37,168"
"Monroe, MI","42,214"
"Montgomery, AL","39,759"
"Morgantown, WV","39,292"
"Morristown, TN","33,956"
"Mount Vernon-Anacortes, WA","46,201"
"Muncie, IN","33,505"
"Muskegon, MI","35,167"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","35,458"
"Napa, CA","64,082"
"Naples-Immokalee-Marco Island, FL","83,561"
"Nashville-Davidson--Murfreesboro--Franklin, TN","51,800"
"New Bern, NC","40,397"
"New Haven-Milford, CT","51,803"
"New Orleans-Metairie, LA","48,031"
"New York-Newark-Jersey City, NY-NJ-PA","65,284"
"Niles-Benton Harbor, MI","42,374"
"North Port-Sarasota-Bradenton, FL","51,713"
"Norwich-New London, CT","53,648"
"Ocala, FL","33,720"
"Ocean City, NJ","53,981"
"Odessa, TX","41,921"
"Ogden-Clearfield, UT","38,848"
"Oklahoma City, OK","45,369"
"Olympia-Tumwater, WA","45,643"
"Omaha-Council Bluffs, NE-IA","53,648"
"Orlando-Kissimmee-Sanford, FL","39,310"
"Oshkosh-Neenah, WI","43,407"
"Owensboro, KY","39,305"
"Oxnard-Thousand Oaks-Ventura, CA","55,594"
"Palm Bay-Melbourne-Titusville, FL","41,035"
"Panama City, FL","39,712"
"Parkersburg-Vienna, WV","37,820"
"Pensacola-Ferry Pass-Brent, FL","39,673"
"Peoria, IL","46,221"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","57,906"
"Phoenix-Mesa-Scottsdale, AZ","41,624"
"Pine Bluff, AR","31,430"
"Pittsburgh, PA","51,130"
"Pittsfield, MA","51,213"
"Pocatello, ID","34,659"
"Portland-South Portland, ME","50,684"
"Portland-Vancouver-Hillsboro, OR-WA","50,097"
